"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp56,221,375,894,469,744.00 / 0.19%"
"Total P/L","Rp68,329,849,001,778,824.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","BTC/RUB","BTC/RUB","Exmo","03/24/2021","SELL","100000000.00000000","4,161,530","03/24/2021","4,187,675","-62.83%","-Rp495,029,430,000,000.00"
"","BTC/SAR","BTC/SAR","Synthetic","03/24/2021","SELL","100000000.00000000","211,386.0","03/24/2021","212,910.7","-72.13%","-Rp586,469,756,200,000.00"
"","BTC/SAR","BTC/SAR","Synthetic","03/24/2021","SELL","200000000.00000000","211,463.2","03/24/2021","212,910.7","-68.45%","-Rp1,113,550,170,000,000.00"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","SELL","100000000.00000000","6,131,347","03/24/2021","6,170,699","-64.18%","-Rp522,240,392,000,000.00"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","SELL","200000000.00000000","6,130,000","03/24/2021","6,170,699","-66.39%","-Rp1,080,232,858,000,000.00"
"","BTC/KRW","BTC/KRW","Bithumb","03/24/2021","SELL","100000000.00000000","67,268,000","03/24/2021","67,701,000","-64.37%","-Rp552,075,000,000,000.00"
"","BTC/KRW","BTC/KRW","Bithumb","03/24/2021","SELL","200000000.00000000","67,288,000","03/24/2021","67,701,000","-61.38%","-Rp1,053,150,000,000,000.00"
"","BTC/RUB","BTC/RUB","Exmo","03/24/2021","SELL","200000000.00000000","4,160,559","03/24/2021","4,187,623","-65.05%","-Rp1,024,859,552,000,000.00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/24/2021","SELL","200000000.00000000","41,160.4","03/24/2021","41,456.2","-71.87%","-Rp1,170,326,784,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","SELL","1000000000.00000000","829,059,532","03/24/2021","832,960,141","-0.47%","-Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","SELL","1000000000.00000000","828,713,603","03/24/2021","832,960,141","-0.51%","-Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","SELL","1000000000.00000000","828,359,700","03/24/2021","832,960,141","-0.56%","-Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","SELL","1000000000.00000000","826,521,380","03/24/2021","832,960,141","-0.78%","-Rp100,000,000,000,000.00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","BUY","1000000000.00000000","56,442.0","03/24/2021","56,880.0","77.60%","Rp6,318,150,000,000,000.00"
